League,Team,Team_ID,Squad_URL
NBA,Washington Wizards,wsh,N/A
NBA,Dallas Mavericks,dal,N/A
NBA,Houston Rockets,hou,N/A
NBA,Memphis Grizzlies,mem,N/A
NBA,New Orleans Pelicans,no,N/A
NBA,San Antonio Spurs,sa,N/A
NHL,Boston Bruins,bos,N/A
NHL,Buffalo Sabres,buf,N/A
NHL,Detroit Red Wings,det,N/A
NHL,Florida Panthers,fla,N/A
NHL,Montreal Canadiens,mtl,N/A
NHL,Ottawa Senators,ott,N/A
NHL,Tampa Bay Lightning,tb,N/A
NHL,Toronto Maple Leafs,tor,N/A
NHL,Chicago Blackhawks,chi,N/A
NHL,Colorado Avalanche,col,N/A
NHL,Dallas Stars,dal,N/A
NHL,Minnesota Wild,min,N/A
NHL,Nashville Predators,nsh,N/A
NHL,St. Louis Blues,stl,N/A
NHL,Utah Mammoth,uta,N/A
NHL,Winnipeg Jets,wpg,N/A
NHL,Carolina Hurricanes,car,N/A
NHL,Columbus Blue Jackets,cbj,N/A
NHL,New Jersey Devils,nj,N/A
NHL,New York Islanders,nyi,N/A
NHL,New York Rangers,nyr,N/A
NHL,Philadelphia Flyers,phi,N/A
NHL,Pittsburgh Penguins,pit,N/A
NHL,Washington Capitals,wsh,N/A
NHL,Anaheim Ducks,ana,N/A
NHL,Calgary Flames,cgy,N/A
NHL,Edmonton Oilers,edm,N/A
NHL,Los Angeles Kings,la,N/A
NHL,San Jose Sharks,sj,N/A
NHL,Seattle Kraken,sea,N/A
NHL,Vancouver Canucks,van,N/A
NHL,Vegas Golden Knights,vgk,N/A
NFL,Buffalo Bills,buf,N/A
NFL,Miami Dolphins,mia,N/A
NFL,New England Patriots,ne,N/A
NFL,New York Jets,nyj,N/A
NFL,Baltimore Ravens,bal,N/A
NFL,Cincinnati Bengals,cin,N/A
NFL,Cleveland Browns,cle,N/A
NFL,Pittsburgh Steelers,pit,N/A
NFL,Houston Texans,hou,N/A
NFL,Indianapolis Colts,ind,N/A
NFL,Jacksonville Jaguars,jax,N/A
NFL,Tennessee Titans,ten,N/A
NFL,Denver Broncos,den,N/A
NFL,Kansas City Chiefs,kc,N/A
NFL,Las Vegas Raiders,lv,N/A
NFL,Los Angeles Chargers,lac,N/A
NFL,Dallas Cowboys,dal,N/A
NFL,New York Giants,nyg,N/A
NFL,Philadelphia Eagles,phi,N/A
NFL,Washington Commanders,wsh,N/A
NFL,Chicago Bears,chi,N/A
NFL,Detroit Lions,det,N/A
NFL,Green Bay Packers,gb,N/A
NFL,Minnesota Vikings,min,N/A
NFL,Atlanta Falcons,atl,N/A
NFL,Carolina Panthers,car,N/A
NFL,New Orleans Saints,no,N/A
NFL,Tampa Bay Buccaneers,tb,N/A
NFL,Arizona Cardinals,ari,N/A
NFL,Los Angeles Rams,lar,N/A
NFL,San Francisco 49ers,sf,N/A
NFL,Seattle Seahawks,sea,N/A
