League,Team,Team_ID,URL
NBA,Utah Jazz,26,https://www.espn.com/basketball/team/roster/_/name/utah-jazz/utah-jazz
NBA,Washington Wizards,27,https://www.espn.com/basketball/team/roster/_/name/washington-wizards/washington-wizards
WNBA,Atlanta Dream,20,https://www.espn.com/basketball/team/roster/_/name/atlanta-dream/atlanta-dream
WNBA,Chicago Sky,19,https://www.espn.com/basketball/team/roster/_/name/chicago-sky/chicago-sky
WNBA,Connecticut SUN,18,https://www.espn.com/basketball/team/roster/_/name/connecticut-sun/connecticut-sun
WNBA,Dallas Wings,3,https://www.espn.com/basketball/team/roster/_/name/dallas-wings/dallas-wings
WNBA,Golden State Valkyries,129689,https://www.espn.com/basketball/team/roster/_/name/golden-state-valkyries/golden-state-valkyries
WNBA,Indiana Fever,5,https://www.espn.com/basketball/team/roster/_/name/indiana-fever/indiana-fever
WNBA,Las Vegas Aces,17,https://www.espn.com/basketball/team/roster/_/name/las-vegas-aces/las-vegas-aces
WNBA,Los Angeles Sparks,6,https://www.espn.com/basketball/team/roster/_/name/los-angeles-sparks/los-angeles-sparks
WNBA,Minnesota Lynx,8,https://www.espn.com/basketball/team/roster/_/name/minnesota-lynx/minnesota-lynx
WNBA,New York Liberty,9,https://www.espn.com/basketball/team/roster/_/name/new-york-liberty/new-york-liberty
WNBA,Phoenix Mercury,11,https://www.espn.com/basketball/team/roster/_/name/phoenix-mercury/phoenix-mercury
WNBA,Seattle Storm,14,https://www.espn.com/basketball/team/roster/_/name/seattle-storm/seattle-storm
WNBA,Washington Mystics,16,https://www.espn.com/basketball/team/roster/_/name/washington-mystics/washington-mystics
NHL,Anaheim Ducks,25,https://www.espn.com/hockey/team/roster/_/name/anaheim-ducks/anaheim-ducks
NHL,Boston Bruins,1,https://www.espn.com/hockey/team/roster/_/name/boston-bruins/boston-bruins
NHL,Buffalo Sabres,2,https://www.espn.com/hockey/team/roster/_/name/buffalo-sabres/buffalo-sabres
NHL,Calgary Flames,3,https://www.espn.com/hockey/team/roster/_/name/calgary-flames/calgary-flames
NHL,Carolina Hurricanes,7,https://www.espn.com/hockey/team/roster/_/name/carolina-hurricanes/carolina-hurricanes
NHL,Chicago Blackhawks,4,https://www.espn.com/hockey/team/roster/_/name/chicago-blackhawks/chicago-blackhawks
NHL,Colorado Avalanche,17,https://www.espn.com/hockey/team/roster/_/name/colorado-avalanche/colorado-avalanche
NHL,Columbus Blue Jackets,29,https://www.espn.com/hockey/team/roster/_/name/columbus-blue-jackets/columbus-blue-jackets
NHL,Dallas Stars,9,https://www.espn.com/hockey/team/roster/_/name/dallas-stars/dallas-stars
NHL,Detroit Red Wings,5,https://www.espn.com/hockey/team/roster/_/name/detroit-red-wings/detroit-red-wings
NHL,Edmonton Oilers,6,https://www.espn.com/hockey/team/roster/_/name/edmonton-oilers/edmonton-oilers
NHL,Florida Panthers,26,https://www.espn.com/hockey/team/roster/_/name/florida-panthers/florida-panthers
NHL,Los Angeles Kings,8,https://www.espn.com/hockey/team/roster/_/name/los-angeles-kings/los-angeles-kings
NHL,Minnesota Wild,30,https://www.espn.com/hockey/team/roster/_/name/minnesota-wild/minnesota-wild
NHL,Montreal Canadiens,10,https://www.espn.com/hockey/team/roster/_/name/montreal-canadiens/montreal-canadiens
NHL,Nashville Predators,27,https://www.espn.com/hockey/team/roster/_/name/nashville-predators/nashville-predators
NHL,New Jersey Devils,11,https://www.espn.com/hockey/team/roster/_/name/new-jersey-devils/new-jersey-devils
NHL,New York Islanders,12,https://www.espn.com/hockey/team/roster/_/name/new-york-islanders/new-york-islanders
NHL,New York Rangers,13,https://www.espn.com/hockey/team/roster/_/name/new-york-rangers/new-york-rangers
NHL,Ottawa Senators,14,https://www.espn.com/hockey/team/roster/_/name/ottawa-senators/ottawa-senators
